date,M.BCPI,M.BCNE,M.ENER,M.MTLS,M.FOPR,M.AGRI,M.FISH,quarter
2009-03-31,397.3333333333333,280.24,953.0233333333334,478.93666666666667,242.06333333333336,206.31000000000003,965.1700000000001,2009Q1
2009-06-30,453.65333333333336,294.48,1152.43,526.76,237.26999999999998,217.57000000000002,847.3933333333333,2009Q2
2009-09-30,471.35999999999996,295.83,1223.6333333333334,567.5666666666667,246.13333333333333,199.60333333333332,770.7266666666666,2009Q3
2009-12-31,523.8233333333334,307.7033333333333,1423.1266666666668,600.48,267.81666666666666,198.1933333333333,791.3466666666667,2009Q4
2010-03-31,562.0566666666667,325.8433333333333,1539.8733333333332,609.16,303.04,209.85666666666668,1046.7533333333333,2010Q1
2010-06-30,552.0533333333333,336.1466666666667,1461.9166666666667,613.41,326.28000000000003,218.20666666666668,1026.2833333333333,2010Q2
2010-09-30,537.7733333333333,337.1566666666667,1396.2166666666665,613.5833333333334,306.52000000000004,233.75,857.1333333333333,2010Q3
2010-12-31,584.9766666666666,366.32666666666665,1518.743333333333,673.4233333333333,332.18333333333334,252.2733333333333,851.5633333333334,2010Q4
2011-03-31,647.9533333333334,405.4266666666667,1684.3866666666665,718.86,350.05,301.44,1022.75,2011Q1
2011-06-30,691.0033333333334,408.94,1867.83,730.0666666666666,325.81666666666666,317.12333333333333,931.0666666666666,2011Q2
2011-09-30,653.5466666666667,413.49666666666667,1684.4666666666665,771.8133333333334,326.2333333333333,301.9166666666667,925.3266666666667,2011Q3
2011-12-31,640.26,387.77,1702.3033333333333,716.4233333333333,306.87666666666667,287.03666666666663,864.2566666666667,2011Q4
2012-03-31,643.5733333333334,410.21000000000004,1645.87,762.6733333333333,318.29,303.36333333333334,994.2233333333334,2012Q1
2012-06-30,614.04,405.9633333333333,1528.9433333333334,719.0933333333334,332.2033333333333,311.1066666666666,955.18,2012Q2
2012-09-30,618.4499999999999,396.56333333333333,1574.4166666666667,685.6333333333333,331.2,311.1933333333333,911.1933333333333,2012Q3
2012-12-31,603.3966666666666,408.23333333333335,1475.2166666666665,723.8166666666666,349.49,306.68333333333334,903.3466666666667,2012Q4
2013-03-31,615.8466666666667,399.42,1551.2833333333335,657.9566666666666,380.47,307.3933333333334,1053.0133333333333,2013Q1
2013-06-30,623.5066666666667,381.2,1636.9633333333331,610.3033333333334,355.09,305.79333333333335,1087.993333333333,2013Q2
2013-09-30,638.1566666666666,366.43666666666667,1750.9266666666665,588.5333333333333,355.18333333333334,285.8333333333333,1096.6266666666668,2013Q3
2013-12-31,595.4533333333334,359.25666666666666,1578.83,581.6933333333333,378.8966666666667,263.96,1143.64,2013Q4
2014-03-31,629.0066666666667,360.99666666666667,1725.0166666666667,570.3366666666667,381.3633333333333,272.3333333333333,1336.0,2014Q1
2014-06-30,649.5266666666666,373.06666666666666,1779.8333333333333,587.0933333333334,367.35999999999996,297.7033333333333,1309.5133333333333,2014Q2
2014-09-30,621.38,372.2733333333333,1659.073333333333,590.3766666666667,374.78,290.21666666666664,1275.1633333333332,2014Q3
2014-12-31,520.9633333333333,358.4866666666667,1283.02,558.2066666666666,370.75,281.9866666666667,1185.4433333333334,2014Q4
2015-03-31,399.5133333333333,341.2133333333333,850.0799999999999,538.4133333333333,348.71000000000004,263.23,1289.9133333333332,2015Q1
2015-06-30,434.4166666666667,337.66333333333336,1023.9900000000001,537.7133333333334,323.43333333333334,266.59666666666664,1365.7300000000002,2015Q2
2015-09-30,371.83666666666664,315.26,798.2599999999999,492.92,310.7633333333333,252.76666666666665,1108.1333333333334,2015Q3
2015-12-31,340.38,297.32666666666665,707.4699999999999,473.99,307.3066666666667,226.36333333333334,1058.77,2015Q4
2016-03-31,304.31666666666666,295.71,559.1633333333333,475.11999999999995,315.08,215.22333333333336,1319.31,2016Q1
2016-06-30,365.0366666666667,311.8333333333333,781.3833333333333,501.09,342.1166666666666,225.57666666666668,1200.0833333333333,2016Q2
2016-09-30,362.79333333333335,307.6433333333334,782.0333333333333,512.23,358.65333333333336,205.01333333333332,1196.1433333333334,2016Q3
2016-12-31,375.7166666666667,302.21999999999997,862.7833333333333,499.17333333333335,357.2133333333333,201.0,1211.28,2016Q4
2017-03-31,400.58,319.83666666666664,935.2633333333333,519.0966666666667,381.44,214.58,1368.03,2017Q1
2017-06-30,400.05,328.86999999999995,908.2566666666667,521.4,404.81333333333333,224.75,1275.7066666666667,2017Q2
2017-09-30,404.73,341.38000000000005,895.2233333333334,544.3466666666667,412.6333333333334,236.35,1212.9066666666668,2017Q3
2017-12-31,425.1033333333333,348.55,966.7433333333333,557.6233333333333,455.1933333333333,229.00666666666666,1212.4399999999998,2017Q4
2018-03-31,442.98,363.64000000000004,1006.2833333333333,573.3666666666667,496.25,234.46666666666667,1380.0133333333333,2018Q1
2018-06-30,484.4766666666667,376.62999999999994,1155.8566666666668,584.51,552.8066666666667,236.51666666666665,1388.743333333333,2018Q2
2018-09-30,456.5933333333333,347.83666666666664,1109.2666666666667,546.5966666666667,494.98333333333335,221.35666666666665,1174.6933333333334,2018Q3
2018-12-31,393.50666666666666,331.75,874.5500000000001,538.6233333333333,419.62000000000006,218.58666666666667,1199.7133333333334,2018Q4
2019-03-31,430.84666666666664,340.96,1006.9366666666666,552.9666666666667,439.82666666666665,220.92333333333332,1332.7066666666667,2019Q1
2019-06-30,442.8566666666666,338.15333333333336,1068.52,561.4733333333334,403.92,222.92999999999998,1260.6733333333334,2019Q2
2019-09-30,428.5933333333333,339.42,1000.8133333333334,592.8533333333334,390.7266666666667,213.75,1216.96,2019Q3
2019-12-31,418.3999999999999,340.39000000000004,954.3866666666667,594.0933333333334,386.91333333333336,215.60999999999999,1246.4366666666667,2019Q4
2020-03-31,372.87000000000006,339.0233333333333,747.8166666666666,590.7933333333333,386.43,215.21666666666667,1227.2466666666667,2020Q1
2020-06-30,311.7266666666667,326.7133333333333,514.1866666666666,587.0766666666667,357.42333333333335,203.58666666666667,1140.5966666666666,2020Q2
2020-09-30,405.99666666666667,377.59666666666664,754.5233333333332,657.75,539.0533333333333,212.14666666666668,1211.6533333333334,2020Q3
2020-12-31,425.92,392.6566666666667,801.0966666666667,679.7466666666668,524.9,231.12,1329.67,2020Q4
2021-03-31,528.5533333333334,441.0833333333333,1092.3866666666665,711.0866666666667,681.4366666666666,265.40000000000003,1434.21,2021Q1
2021-06-30,606.0400000000001,510.9333333333334,1241.8366666666668,782.0166666666668,897.6066666666666,307.61,1477.5466666666669,2021Q2
2021-09-30,622.6566666666666,481.16,1377.5633333333335,865.1933333333333,516.4399999999999,322.06666666666666,1728.6499999999999,2021Q3
2021-12-31,673.54,517.6066666666667,1503.3333333333333,898.04,662.1,322.0366666666667,1765.08,2021Q4
2022-03-31,802.9499999999999,588.8633333333333,1825.9233333333334,968.9733333333334,890.1966666666667,347.97333333333336,1905.55,2022Q1
2022-06-30,902.15,597.1233333333333,2208.9666666666667,1028.1766666666665,714.3433333333332,380.8333333333333,1717.8166666666666,2022Q2
2022-09-30,770.89,517.0366666666666,1867.4333333333334,883.62,596.6366666666667,335.67333333333335,1675.97,2022Q3
2022-12-31,675.3000000000001,482.21000000000004,1565.1833333333334,803.5366666666665,533.5733333333334,328.05333333333334,1719.3933333333334,2022Q4
2023-03-31,620.4466666666667,478.1333333333334,1356.6633333333332,814.5033333333334,500.19666666666666,326.5333333333333,1750.38,2023Q1
2023-06-30,608.0133333333333,460.63000000000005,1347.42,767.65,449.32,331.19666666666666,1721.7300000000002,2023Q2
2023-09-30,635.29,451.3633333333333,1483.6166666666668,739.4666666666667,429.70666666666665,335.24666666666667,1600.0600000000002,2023Q3
2023-12-31,597.57,431.00333333333333,1378.9633333333334,729.25,431.08,301.46,1590.8999999999999,2023Q4
2024-03-31,593.2233333333334,434.50666666666666,1350.0866666666668,729.6,457.99,298.4533333333333,1814.9133333333332,2024Q1
2024-06-30,635.7133333333333,458.43333333333334,1464.64,803.2266666666668,452.9866666666667,308.3533333333333,1742.28,2024Q2
2024-09-30,603.9266666666666,448.8766666666667,1359.3633333333335,799.94,450.96999999999997,294.8433333333333,1624.22,2024Q3
2024-12-31,603.6633333333333,462.2033333333334,1326.6033333333335,827.66,473.9666666666667,298.00333333333333,1797.2933333333333,2024Q4
2025-03-31,629.58,482.87000000000006,1377.61,869.6466666666666,479.9766666666667,312.18666666666667,1946.0366666666669,2025Q1
2025-06-30,615.43,509.1133333333333,1254.14,927.65,476.6000000000001,335.23333333333335,1771.14,2025Q2
2025-09-30,616.0166666666668,520.6866666666666,1229.57,961.8466666666667,484.78,338.45,1763.9033333333334,2025Q3
